Published Date,Month Of Year,Day Of Week,Time Of Day,Media Type,Message Type,Outbound Post,Status,Account,Account Type,Author Name,Campaign Name,Permalink,ScheduledTime,PublishedTime,Tags,Total Impressions (SUM),Post Reach (SUM),Instagram Video Views (SUM),Total Engagements (SUM),Engagement Rate in %,Instagram Post Likes (SUM),Instagram Post Comments (SUM),Post Shares (SUM),Instagram Business Post Saved (SUM),Count of Positive Comments (SUM),Count of Neutral Comments (SUM),Count of Negative Comments (SUM),Iniciativa/Promo/Campanha,Fazendo o processo,Antes/Depois,Influenciador,Humano,Produto,Texto,Engajou
19/07/2021,July,Monday,16:00,Carousel,Update,E não é que o nosso #PapoReto inspirou mesmo o @cauemoura a dar um tapa no visu? Passa pro lado e saca só essa transformação. 👉👉👉 #Gillette,SENT,Gillette - Brasil,INSTAGRAM,System User,[Gillette Auto Import] (Gillette),https://www.instagram.com/p/CRhRhp2LXTZ/,2021-07-19 16:07:15,2021-07-19 16:07:15,,59220,55790,0,8433,"15,11561",7359,1074,0,25,657,408,9,0,0,1,1,1,0,0,1
28/01/2021,January,Thursday,19:00,Carousel,Update,"Vocês pediram e o @fred voltou com o bigodão. Assim, fica mais fácil de curtir aquela sensação de refrescância no rosto. 😌🍃 Passa pro lado e comenta aqui embaixo o que você achou. Curtiu? ➡➡➡ #TapaNoVisuGillette #Gillette . . . . ⚠ Mantenha as mãos e o rosto (e o bigode!) sempre limpos.",SENT,Gillette - Brasil,INSTAGRAM,System User,[Gillette Auto Import] (Gillette),https://www.instagram.com/p/CKmzLapByyL/,2021-01-28 19:57:45,2021-01-28 19:57:45,,60773,60033,0,4797,"7,99061",4648,149,0,39,43,100,6,0,0,1,1,1,0,0,1
18/02/2021,February,Thursday,19:00,Video,Update,"Prestobarba possui lâminas de longa duração, com revestimento de cromo, para evitar a oxidação. #Gillette #Prestobarba3",SENT,Gillette - Brasil,INSTAGRAM,System User,[Gillette Auto Import] (Gillette),https://www.instagram.com/p/CLcyoKFBcVp/,2021-02-18 19:12:52,2021-02-18 19:12:52,,9796,8922,3308,3814,"42,74826",588,3226,0,15,1690,1532,4,0,0,0,0,0,1,0,1
01/04/2021,April,Thursday,19:00,Carousel,Update,O @gilnogueiraofc inaugurou uma nova era no #BBB e deu um #TapaNoVisuGillette de respeito com o Fusion5. Quer conhecer melhor o poder dessas lâminas? Arrasta pro lado. 👉 #BBB21 #RedeBBB,SENT,Gillette - Brasil,INSTAGRAM,System User,[Gillette Auto Import] (Gillette),https://www.instagram.com/p/CNI_MFKhdRj/,2021-04-01 19:39:40,2021-04-01 19:39:40,,41789,38349,27993,2969,"7,74205",2534,435,0,82,99,330,6,1,1,0,1,1,1,1,1
11/06/2021,June,Friday,11:00,Carousel,Update,O #TapaNoVisuGillette tá diferente. A gente lançou um desafio cabeludo pro @ochicungunha e ele aceitou: raspar o peito! Arrasta pro lado e saca só esse antes e depois. 👉👉👉 #Gillette,SENT,Gillette - Brasil,INSTAGRAM,System User,[Gillette Auto Import] (Gillette),https://www.instagram.com/p/CP-5rMRB-EY/,2021-06-11 11:13:16,2021-06-11 11:13:16,,37527,36190,0,2803,"7,74523",2527,276,0,52,128,142,6,0,0,1,1,1,0,0,1
12/08/2021,August,Thursday,14:00,Carousel,Update,"Um verdadeiro visual de craque passando na sua timeline pra avisar que #vemaí @10neto e #Gillette no @podpahpodcast. 👊 Hoje às 19h, no Youtube do Podpah. Marca aqui quem não pode perder esse papo de craque! #Gillette",SENT,Gillette - Brasil,INSTAGRAM,System User,[Gillette Auto Import] (Gillette),https://www.instagram.com/p/CSe8KbyruHK/,2021-08-12 14:53:30,2021-08-12 14:53:30,,22688,19572,0,2415,"12,33906",1571,844,0,14,497,333,14,1,0,1,1,1,1,0,1
28/06/2021,June,Monday,20:00,Video,Update,"Se arrumar pro date, se arrumar pro rolê, se arrumar pra ficar em casa. Você está pronto para viver as suas verdades. #ChegaDeMentiras #Gillette",SENT,Gillette - Brasil,INSTAGRAM,System User,[Gillette Auto Import] (Gillette),https://www.instagram.com/p/CQrk-v0j5Ng/,2021-06-28 20:48:15,2021-06-28 20:48:15,,19275,17365,9873,1986,"11,4368",1695,291,0,168,138,147,6,1,1,1,0,1,1,1,1
07/05/2021,May,Friday,17:00,Video,Update,"Neste dia das mães, @arielreidoblindado está preparando outros #FilhosDaMãe para a data. Assim como seus tantos clientes que se preparam para esse dia, Ariel trabalha para dar orgulho à dona Neuza. Pra demonstrar seu carinho pela sua mãe, bora dar um #TapanoVisu com #Gillette?",SENT,Gillette - Brasil,INSTAGRAM,System User,[Gillette Auto Import] (Gillette),https://www.instagram.com/tv/COlab1PhEKq/,2021-05-07 17:11:23,2021-05-07 17:11:23,,14719,13434,9991,1064,"7,9202",830,234,0,28,181,52,1,1,1,0,1,1,1,1,1
01/02/2021,February,Monday,14:00,Video,Update,Marque aqui o seu amigo gamer! Você compra R$20 em produtos Gillette e concorre a 20 set-ups gamer exclusivos. Link na bio. #Gillette #SetupGillette,SENT,Gillette - Brasil,INSTAGRAM,System User,[Gillette Auto Import] (Gillette),https://www.instagram.com/p/CKwft2UhzRS/,2021-02-01 14:20:27,2021-02-01 14:20:27,,11244,10545,5205,877,"8,31674",537,340,0,90,100,230,10,1,0,0,0,0,0,1,1
11/03/2021,March,Thursday,23:00,Video,Update,Tá acompanhando a #ProvaDoLíder do #BBB21? A dinâmica é a mesma da Promoção Gillette Pronto pra Vencer ✨comprar e cadastrar para poder ganhar✨#Gillette #BBB #GilletteNoBBB,SENT,Gillette - Brasil,INSTAGRAM,System User,[Gillette Auto Import] (Gillette),https://www.instagram.com/p/CMTXE9ehgDe/,2021-03-11 23:49:46,2021-03-11 23:49:46,,10787,9848,4351,840,"8,52965",400,440,0,18,37,387,16,1,0,0,1,1,1,1,1
